color_idx_ind,target_acc,mode,response_deadline,block_number,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training_deadline.thisRepN,trials_training_deadline.thisTrialN,trials_training_deadline.thisN,trials_training_deadline.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_staircase.thisRepN,trials_staircase.thisTrialN,trials_staircase.thisN,trials_staircase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_ind.started,stimulus_ind.stopped,key_resp_ind.keys,key_resp_ind.rt,key_resp_ind.started,key_resp_ind.stopped,fixation_cross_1_ind.started,fixation_cross_1_ind.stopped,text.started,text.stopped,dummy_text.started,dummy_text.stopped,stim_ind_color_rgb_r,stim_ind_color_rgb_g,stim_ind_color_rgb_b,text_break_block.started,text_break_block.stopped,participant,session,accuracy_weighting,color_mapping,block_difficulties,date,expName,psychopyVersion,frameRate,
0,0.9,training,1000000000000,,0,0,0,0,,,,,,,,,,,,,,,,,213.66515105500002,None,d,3.505411568999989,213.76519975200063,None,213.1688860660006,213.58169161500064,217.3016973620006,217.8000423880003,217.3016973620006,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
3,0.9,training,1000000000000,,0,1,1,1,,,,,,,,,,,,,,,,,218.399959931,None,k,1.8025458010006332,218.50006355200003,None,217.8999190630002,218.31675266399998,220.33436218499992,220.83443906400043,220.33436218499992,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
0,0.9,training,1000000000000,,0,2,2,2,,,,,,,,,,,,,,,,,221.43454838900016,None,d,0.9919410479997168,221.5346438480001,None,220.93453971300005,221.35121005400015,222.55158472200037,223.05154696299996,222.55158472200037,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
1,0.9,training,1000000000000,,0,3,3,3,,,,,,,,,,,,,,,,,223.65162586499991,None,f,0.9429700079999748,223.75162228699992,None,223.1514146469999,223.56826934500077,224.71838951500013,225.20291917100076,224.71838951500013,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
0,0.9,training,1000000000000,,0,4,4,4,,,,,,,,,,,,,,,,,225.80296793900015,None,d,0.7438561369999661,225.90281884100023,None,225.30263834000016,225.71942007300004,226.66950531400016,227.16965184000037,226.66950531400016,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
1,0.9,training,1000000000000,,0,5,5,5,,,,,,,,,,,,,,,,,227.76992888400036,None,f,0.8566904050003359,227.8699205440007,None,227.26972498400028,227.68652241200016,228.75312582700008,229.25349164199997,228.75312582700008,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
0,0.9,training,1000000000000,,0,6,6,6,,,,,,,,,,,,,,,,,229.85348118500042,None,d,0.7650769450001462,229.9535338960004,None,229.35336607600038,229.77015669200046,230.7377424260003,231.2376623730006,230.7377424260003,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
3,0.9,training,1000000000000,,0,7,7,7,,,,,,,,,,,,,,,,,231.83795047200056,None,k,1.1327623870001844,231.93784513400078,None,231.33777168400047,231.75447757100028,233.08804614400015,233.58800613900075,233.08804614400015,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
1,0.9,training,1000000000000,,0,8,8,8,,,,,,,,,,,,,,,,,234.18831530600073,None,f,0.9262568020003528,234.2883173730006,None,233.6881232250007,234.10500720400069,235.2390383890006,235.73929219900037,235.2390383890006,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
3,0.9,training,1000000000000,,0,9,9,9,,,,,,,,,,,,,,,,,236.33943913200073,None,k,1.5112185680000039,236.43930915800047,None,235.83928915900015,236.2558889460006,237.97299431600004,238.47309588999997,237.97299431600004,None,,,,,,6,001,exponential,bryg,0.75-0.35,2021_May_18_1419,color_judgement_and_subjective_perception,2020.2.10,60.05344804914688,
