color_idx_ind,target_acc,mode,response_deadline,block_number,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training_deadline.thisRepN,trials_training_deadline.thisTrialN,trials_training_deadline.thisN,trials_training_deadline.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_staircase.thisRepN,trials_staircase.thisTrialN,trials_staircase.thisN,trials_staircase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_ind.started,stimulus_ind.stopped,key_resp_ind.keys,key_resp_ind.rt,key_resp_ind.started,key_resp_ind.stopped,fixation_cross_1_ind.started,fixation_cross_1_ind.stopped,text.started,text.stopped,dummy_text.started,dummy_text.stopped,stim_ind_color_rgb_r,stim_ind_color_rgb_g,stim_ind_color_rgb_b,text_break_block.started,text_break_block.stopped,participant,session,accuracy_weighting,color_mapping,block_difficulties,date,expName,psychopyVersion,frameRate,
0,0.9,training,1000000000000,,0,0,0,0,,,,,,,,,,,,,,,,,69.74918072999935,None,f,2.8126581650030857,69.84914993599887,None,69.25176759199894,69.66579247099799,72.68488017399795,73.18273630699696,72.68488017399795,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
1,0.9,training,1000000000000,,0,1,1,1,,,,,,,,,,,,,,,,,73.767229588997,None,f,7.314660845000617,73.86720749199958,None,73.26703055799953,73.68390477799767,81.20457918199827,81.70283516599739,81.20457918199827,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
0,0.9,training,1000000000000,,0,2,2,2,,,,,,,,,,,,,,,,,82.30286401899866,None,d,5.378985961000581,82.40281587400023,None,81.80268781799896,82.21953015199688,87.80437004099804,88.28857203899679,87.80437004099804,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000000000000,,0,3,3,3,,,,,,,,,,,,,,,,,88.88873947899992,None,j,1.8970178859999578,88.988800051,None,88.38861012099733,88.8053035869998,90.90552787199704,91.40566579999722,90.90552787199704,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
0,0.9,training,1000000000000,,0,4,4,4,,,,,,,,,,,,,,,,,92.00571652500003,None,d,2.332361007000145,92.10550432299715,None,91.50544407699999,91.92230720799853,94.4571048129983,94.95703804599907,94.4571048129983,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000000000000,,0,5,5,5,,,,,,,,,,,,,,,,,95.55727811499673,None,j,1.5005666719989676,95.65724936299739,None,95.05690961099754,95.47388347299784,97.19063960600033,97.69111100299779,97.19063960600033,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
1,0.9,training,1000000000000,,0,6,6,6,,,,,,,,,,,,,,,,,98.27500010899894,None,f,15.950706002997322,98.37507109299986,None,97.79065455899763,98.20614112299882,114.34639819899894,114.84659294799712,114.34639819899894,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000000000000,,0,7,7,7,,,,,,,,,,,,,,,,,115.44669659299689,None,k,1.3872017809990211,115.54666889099826,None,114.94647086799887,115.36332631199912,116.96362165399842,117.46357071099919,116.96362165399842,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
1,0.9,training,1000000000000,,0,8,8,8,,,,,,,,,,,,,,,,,118.06379840199952,None,f,1.8259394300002896,118.16385475099742,None,117.5638306189976,117.98055110299902,120.01484650400016,120.51491000299939,120.01484650400016,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000000000000,,0,9,9,9,,,,,,,,,,,,,,,,,121.11506490199827,None,k,2.070751980998466,121.21510854199732,None,120.61489847099801,121.03178690999994,123.31620256599854,123.81642097099757,123.31620256599854,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
1,0.9,training,1000000000000,,0,10,10,10,,,,,,,,,,,,,,,,,124.41663299900029,None,f,12.553315486999054,124.51652361099696,None,123.91628831499838,124.33316032399671,137.08659354399788,137.58666856799755,137.08659354399788,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000000000000,,0,11,11,11,,,,,,,,,,,,,,,,,138.18683569999848,None,j,1.294581758997083,138.27116847899742,None,137.68673701700027,138.10361405599906,139.5878963699979,140.0881225919984,139.5878963699979,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
0,0.9,training,1000000000000,,0,12,12,12,,,,,,,,,,,,,,,,,140.68802676199994,None,d,2.4097768169995106,140.78807264499846,None,140.18803003299763,140.60473168399767,143.220327351999,143.7060394629989,143.220327351999,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000000000000,,0,13,13,13,,,,,,,,,,,,,,,,,144.30611647499973,None,j,42.92751938799847,144.4063467119995,None,143.8060374529996,144.22295650999877,187.3527297579967,187.7937440200003,187.3527297579967,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000000000000,,0,14,14,14,,,,,,,,,,,,,,,,,188.16943683999853,None,k,0.9438473949994659,188.2539070649982,None,187.85126172599848,188.08725933099777,189.22065024899712,189.72068462599782,189.22065024899712,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000000000000,,0,15,15,15,,,,,,,,,,,,,,,,,190.32079804000023,None,j,0.881038504998287,190.42082757800017,None,189.82048020899674,190.2373540749977,191.32097465100014,191.8209587780002,191.32097465100014,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000000000000,,0,16,16,16,,,,,,,,,,,,,,,,,192.42105543899743,None,k,1.1007568029999675,192.52109607999955,None,191.92091196899855,192.33768724699985,193.63872497400007,194.13883533699845,193.63872497400007,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
1,0.9,training,1000000000000,,0,17,17,17,,,,,,,,,,,,,,,,,194.73879291699996,None,f,1.3509928989988111,194.83880692699677,None,194.2388035240001,194.6555542299975,196.22234735299935,196.7224853569969,196.22234735299935,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
0,0.9,training,1000000000000,,0,18,18,18,,,,,,,,,,,,,,,,,197.32266245400024,None,d,0.9671406880006543,197.42269335699893,None,196.82249929599857,197.23917255599736,198.4068548260002,198.90697191299842,198.4068548260002,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000000000000,,0,19,19,19,,,,,,,,,,,,,,,,,199.50699002799956,None,k,1.50279807699917,199.60704579999947,None,199.0069680689994,199.42371300299783,201.1407244669972,201.64082361799956,201.1407244669972,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
1,0.9,training,1000000000000,,0,20,20,20,,,,,,,,,,,,,,,,,202.24084185799802,None,f,1.113021868000942,202.34087634499883,None,201.740652141998,202.15729355700023,203.47500359399783,203.97524965499906,203.47500359399783,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000000000000,,0,21,21,21,,,,,,,,,,,,,,,,,204.57526240399966,None,j,1.1785592009982793,204.6753068179969,None,204.0750809429992,204.49201730099958,205.87545213799967,206.37569851799708,205.87545213799967,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
1,0.9,training,1000000000000,,0,22,22,22,,,,,,,,,,,,,,,,,206.97562706699682,None,f,2.9701782949996414,207.07566908899753,None,206.47577846399872,206.89240191599674,210.07691184799842,210.57723074099704,210.07691184799842,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
0,0.9,training,1000000000000,,0,23,23,23,,,,,,,,,,,,,,,,,211.17730252499678,None,d,0.7684020960005,211.2774176769999,None,210.67716118199678,211.0937398879978,212.07722637400002,212.57748571499906,212.07722637400002,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
1,0.9,training,1000000000000,,0,24,24,24,,,,,,,,,,,,,,,,,213.17748482099705,None,f,0.7679711100026907,213.2618630649995,None,212.67734324299818,213.09397510199778,214.0615683979995,214.56166773099903,214.0615683979995,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000000000000,,0,25,25,25,,,,,,,,,,,,,,,,,215.1619332809969,None,j,0.9760656239996024,215.2618050759993,None,214.66171637099978,215.07863526299843,216.2619444999982,216.76211473500007,216.2619444999982,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000000000000,,0,26,26,26,,,,,,,,,,,,,,,,,217.3622093649974,None,k,0.9194780200014065,217.46236864099774,None,216.86204809799892,217.27891272399938,218.4131894839993,218.91335106599945,218.4131894839993,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
0,0.9,training,1000000000000,,0,27,27,27,,,,,,,,,,,,,,,,,219.51332631199693,None,d,0.784588791000715,219.61323678999906,None,219.01327506699818,219.42997277199902,220.43012068199823,220.93031601199982,220.43012068199823,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000000000000,,0,28,28,28,,,,,,,,,,,,,,,,,221.53030734599815,None,k,0.7114820210008475,221.63039581799967,None,221.0303154969988,221.44699482599754,222.36356662699836,222.86394126499727,222.36356662699836,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
0,0.9,training,1000000000000,,0,29,29,29,,,,,,,,,,,,,,,,,223.44831980099843,None,d,0.9615805579996959,223.54827652099993,None,222.96394913699987,223.36496916800024,224.53134877199773,225.03171545799705,224.53134877199773,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000000000000,,0,30,30,30,,,,,,,,,,,,,,,,,225.63184274800005,None,k,0.7139734379998117,225.73190192999755,None,225.1317122829969,225.54854002999855,226.46527008900011,226.96530197599714,226.46527008900011,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000000000000,,0,31,31,31,,,,,,,,,,,,,,,,,227.56539930399958,None,j,1.0203042839966656,227.66552805599713,None,227.06528803699985,227.48223627399784,228.71644774899687,229.21650583799783,228.71644774899687,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000,,,,,,0,0,0,0,,,,,,,,,,,,,240.15321367599972,None,None,-1,240.2530367679974,None,239.66747216099975,240.06974170299873,241.1707434739983,241.66996589199698,241.1707434739983,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
1,0.9,training,1000,,,,,,0,1,1,1,,,,,,,,,,,,,242.27004933900025,None,d,0.45180478299880633,242.37007636299677,None,241.7699821069982,242.18681360999835,242.85340948799785,243.33784035799908,242.85340948799785,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000,,,,,,0,2,2,2,,,,,,,,,,,,,243.93789290199857,None,j,0.5199814079969656,244.03789245499866,None,243.4376881979988,243.85456095299742,244.58787484599816,245.08813104699948,244.58787484599816,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
0,0.9,training,1000,,,,,,0,3,3,3,,,,,,,,,,,,,245.68824215399945,None,d,0.585414639001101,245.78840151300028,None,245.1880533329968,245.604883521999,246.4047124259996,246.90511937100018,246.4047124259996,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000,,,,,,0,4,4,4,,,,,,,,,,,,,247.5052073179977,None,f,0.5206700330018066,247.60517325399996,None,247.0048771949987,247.42171895099818,248.15494344899707,248.63954326800012,248.15494344899707,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000,,,,,,0,5,5,5,,,,,,,,,,,,,249.23948951999773,None,k,0.5224275299988221,249.339454216999,None,248.7394834079969,249.15630021899779,249.88946408799893,250.38972289499725,249.88946408799893,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
2,0.9,training,1000,,,,,,0,6,6,6,,,,,,,,,,,,,250.98983776000023,None,d,0.5080424810003024,251.0898427539978,None,250.48964925499968,250.906487283999,251.62300721499923,252.1233677759992,251.62300721499923,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
3,0.9,training,1000,,,,,,0,7,7,7,,,,,,,,,,,,,252.72349451699847,None,k,0.5105047819997708,252.82336355999723,None,252.22327807999682,252.64006352999786,253.35761634899973,253.8575032339977,253.35761634899973,None,,,,,,10,001,exponential,gyrb,0.75-0.35,2021_May_19_1045,color_judgement_and_subjective_perception,2020.2.10,60.021118070202796,
