color_idx_ind,target_acc,mode,response_deadline,block_number,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training_deadline.thisRepN,trials_training_deadline.thisTrialN,trials_training_deadline.thisN,trials_training_deadline.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_staircase.thisRepN,trials_staircase.thisTrialN,trials_staircase.thisN,trials_staircase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_ind.started,stimulus_ind.stopped,key_resp_ind.keys,key_resp_ind.rt,key_resp_ind.started,key_resp_ind.stopped,fixation_cross_1_ind.started,fixation_cross_1_ind.stopped,text.started,text.stopped,dummy_text.started,dummy_text.stopped,stim_ind_color_rgb_r,stim_ind_color_rgb_g,stim_ind_color_rgb_b,text_break_block.started,text_break_block.stopped,participant,session,accuracy_weighting,color_mapping,block_difficulties,date,expName,psychopyVersion,frameRate,
2,0.9,training,1000000000000,,0,0,0,0,,,,,,,,,,,,,,,,,742.5413789340018,None,j,1.1064011469934485,742.6414436630002,None,742.0448579980002,742.4582111220006,743.7766837200033,744.2750991700013,743.7766837200033,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
1,0.9,training,1000000000000,,0,1,1,1,,,,,,,,,,,,,,,,,744.8592574020004,None,f,0.6125480650007376,744.9592935000037,None,744.3749630859966,744.7758388799994,745.5927235619965,746.0926412219997,745.5927235619965,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
2,0.9,training,1000000000000,,0,2,2,2,,,,,,,,,,,,,,,,,746.6929385219992,None,k,0.5069538730022032,746.7928738370028,None,746.1925507109991,746.6094784349989,747.326232186002,747.8262503829974,747.326232186002,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
1,0.9,training,1000000000000,,0,3,3,3,,,,,,,,,,,,,,,,,748.4264183679988,None,f,0.5413603060005698,748.526517899998,None,747.9262501199992,748.343016756,749.0929520439968,749.5932160619996,749.0929520439968,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
2,0.9,training,1000000000000,,0,4,4,4,,,,,,,,,,,,,,,,,750.177531718,None,f,0.9023242320035934,750.2775082529988,None,749.6931435200022,750.0942313639971,751.2108091120026,751.7111151339996,751.2108091120026,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
3,0.9,training,1000000000000,,0,5,5,5,,,,,,,,,,,,,,,,,752.3111804229993,None,k,0.8325455910016899,752.4112847049983,None,751.811247808997,752.2278449529986,753.261092175002,753.7613098220027,753.261092175002,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
2,0.9,training,1000000000000,,0,6,6,6,,,,,,,,,,,,,,,,,754.3616606389987,None,j,0.702411899001163,754.4614317209998,None,753.8612890099976,754.2779562750002,755.1955584640018,755.6957972259988,755.1955584640018,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
1,0.9,training,1000000000000,,0,7,7,7,,,,,,,,,,,,,,,,,756.2958119609975,None,f,0.6719503349959268,756.3958789820026,None,755.7956400659968,756.2126369730031,757.09603126,757.596000081001,757.09603126,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
0,0.9,training,1000000000000,,0,8,8,8,,,,,,,,,,,,,,,,,758.1961350619968,None,d,0.49966481600131374,758.2961795529991,None,757.6960617349978,758.1128222999978,758.8128489279989,759.3130433749975,758.8128489279989,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
3,0.9,training,1000000000000,,0,9,9,9,,,,,,,,,,,,,,,,,759.8972504080011,None,k,0.4704999109962955,759.9972606220035,None,759.4129015639992,759.8140567360024,760.497108274998,760.9972945609989,760.497108274998,None,,,,,,13,001,exponential,ybgr,0.35-0.75,2021_May_20_0900,color_judgement_and_subjective_perception,2020.2.10,60.058127019155705,
