color_idx_ind,target_acc,mode,response_deadline,block_number,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training_deadline.thisRepN,trials_training_deadline.thisTrialN,trials_training_deadline.thisN,trials_training_deadline.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_staircase.thisRepN,trials_staircase.thisTrialN,trials_staircase.thisN,trials_staircase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_ind.started,stimulus_ind.stopped,key_resp_ind.keys,key_resp_ind.rt,key_resp_ind.started,key_resp_ind.stopped,fixation_cross_1_ind.started,fixation_cross_1_ind.stopped,text.started,text.stopped,dummy_text.started,dummy_text.stopped,stim_ind_color_rgb_r,stim_ind_color_rgb_g,stim_ind_color_rgb_b,text_break_block.started,text_break_block.stopped,participant,session,accuracy_weighting,color_mapping,block_difficulties,date,expName,psychopyVersion,frameRate,
1,0.9,training,1000000000000,,0,0,0,0,,,,,,,,,,,,,,,,,68.52965056799997,None,f,1.060919322000018,68.629535981,None,68.03279744300005,68.44620066900006,69.71542518600006,70.213952952,69.71542518600006,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
2,0.9,training,1000000000000,,0,1,1,1,,,,,,,,,,,,,,,,,70.81407037600002,None,j,0.8484727229999862,70.91398740400007,None,70.31381648600006,70.73072613199997,71.780892483,72.281046189,71.780892483,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
1,0.9,training,1000000000000,,0,2,2,2,,,,,,,,,,,,,,,,,72.88101185000005,None,f,0.8133245520000401,72.98111772200002,None,72.380988473,72.79777141299996,73.81442806899997,74.29867192500001,73.81442806899997,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
0,0.9,training,1000000000000,,0,3,3,3,,,,,,,,,,,,,,,,,74.89879381800006,None,d,0.5636519199999839,74.99881696700004,None,74.39877851799997,74.81561374399996,75.58213197200007,76.08238345999996,75.58213197200007,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
1,0.9,training,1000000000000,,0,4,4,4,,,,,,,,,,,,,,,,,76.68264821700006,None,f,0.6756476840000687,76.78278307599999,None,76.18231387499998,76.59893040600002,77.48238308099997,77.98273837099998,77.48238308099997,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
2,0.9,training,1000000000000,,0,5,5,5,,,,,,,,,,,,,,,,,78.58270759000004,None,j,0.7356079349999618,78.682869246,None,78.08258063100004,78.49943270300002,79.45016160500006,79.95043133900003,79.45016160500006,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
0,0.9,training,1000000000000,,0,6,6,6,,,,,,,,,,,,,,,,,80.55041559100005,None,d,0.7518848959999787,80.650558531,None,80.05050101200004,80.46713623699998,81.433884035,81.934163796,81.433884035,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
3,0.9,training,1000000000000,,0,7,7,7,,,,,,,,,,,,,,,,,82.53414572300005,None,k,0.8484161540000059,82.63405852100004,None,82.03406610800005,82.45086047300003,83.50078034700005,83.98543669900005,83.50078034700005,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
1,0.9,training,1000000000000,,0,8,8,8,,,,,,,,,,,,,,,,,84.58543960600002,None,f,0.6531934050000245,84.68523973800006,None,84.08533767300003,84.50191422099999,85.368512076,85.86884766599997,85.368512076,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
3,0.9,training,1000000000000,,0,9,9,9,,,,,,,,,,,,,,,,,86.46896820999996,None,k,0.8253391050000118,86.56910587300001,None,85.96882268800005,86.38557519899996,87.41906216400002,87.919265139,87.41906216400002,None,,,,,,1,001,exponential,rgby,0.75-0.35,2021_May_17_1100,color_judgement_and_subjective_perception,2020.2.10,60.05314222661089,
