color_idx_ind,target_acc,mode,response_deadline,block_number,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training_deadline.thisRepN,trials_training_deadline.thisTrialN,trials_training_deadline.thisN,trials_training_deadline.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_staircase.thisRepN,trials_staircase.thisTrialN,trials_staircase.thisN,trials_staircase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_ind.started,stimulus_ind.stopped,key_resp_ind.keys,key_resp_ind.rt,key_resp_ind.started,key_resp_ind.stopped,fixation_cross_1_ind.started,fixation_cross_1_ind.stopped,text.started,text.stopped,dummy_text.started,dummy_text.stopped,stim_ind_color_rgb_r,stim_ind_color_rgb_g,stim_ind_color_rgb_b,text_break_block.started,text_break_block.stopped,participant,session,accuracy_weighting,color_mapping,block_difficulties,date,expName,psychopyVersion,frameRate,
3,0.9,training,1000000000000,,0,0,0,0,,,,,,,,,,,,,,,,,73.91310579900164,None,k,1.1707403639993572,74.01309282300099,None,73.4155650620014,73.82968849900135,75.21606820300076,75.71418631699999,75.21606820300076,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
0,0.9,training,1000000000000,,0,1,1,1,,,,,,,,,,,,,,,,,76.3142223570012,None,d,1.1376394750004692,76.41422565700123,None,75.81422246300099,76.23094422500071,77.58102159300142,78.08117536999998,77.58102159300142,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
3,0.9,training,1000000000000,,0,2,2,2,,,,,,,,,,,,,,,,,78.68112344900146,None,k,0.7545702729985351,78.78129311500015,None,78.18126777600082,78.59790364600121,79.56471147600132,80.04902024100011,79.56471147600132,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
0,0.9,training,1000000000000,,0,3,3,3,,,,,,,,,,,,,,,,,80.64904707500136,None,d,0.4107845910002652,80.748983073001,None,80.14896228200087,80.56572285500079,81.18233342500025,81.68265101600082,81.18233342500025,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
1,0.9,training,1000000000000,,0,4,4,4,,,,,,,,,,,,,,,,,82.28285513300034,None,f,0.44893200200021965,82.38289943200107,None,81.78262153500145,82.19928285800052,82.84930723100115,83.34950430200115,82.84930723100115,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
2,0.9,training,1000000000000,,0,5,5,5,,,,,,,,,,,,,,,,,83.94955990500057,None,j,0.45421550500032026,84.04962207400058,None,83.44938641600129,83.8661985000017,84.53287669800011,85.01734270000088,84.53287669800011,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
3,0.9,training,1000000000000,,0,6,6,6,,,,,,,,,,,,,,,,,85.61725993400069,None,k,0.3226356870000018,85.71723614700022,None,85.11712427200109,85.53409214800013,86.06727464000141,86.56740132200139,86.06727464000141,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
0,0.9,training,1000000000000,,0,7,7,7,,,,,,,,,,,,,,,,,87.16771619800056,None,d,0.4682122230005916,87.26761982700009,None,86.66737489200023,87.08431567200023,87.76750479100156,88.26771083400126,87.76750479100156,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
1,0.9,training,1000000000000,,0,8,8,8,,,,,,,,,,,,,,,,,88.8677405010003,None,j,0.44011014200077625,88.96775254000022,None,88.36763317000077,88.78444717999992,89.43446272700021,89.91920703400137,89.43446272700021,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
0,0.9,training,1000000000000,,0,9,9,9,,,,,,,,,,,,,,,,,90.51888169900121,None,d,1.0370870040005684,90.61875113099995,None,90.01890770400132,90.43551722900156,91.68552975700004,92.1858231310016,91.68552975700004,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
2,0.9,training,1000000000000,,0,10,10,10,,,,,,,,,,,,,,,,,92.78608937400168,None,j,0.7298577239998849,92.88600275099998,None,92.2859115629999,92.70263570600036,93.63587008300055,94.1361726690011,93.63587008300055,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
1,0.9,training,1000000000000,,0,11,11,11,,,,,,,,,,,,,,,,,94.73613544700129,None,f,0.3876991849992919,94.83615565800028,None,94.23614984400047,94.652786001001,95.25373786199998,95.75375816100131,95.25373786199998,None,,,,,,4,001,exponential,rgby,0.35-0.75,2021_May_17_1622,color_judgement_and_subjective_perception,2020.2.10,60.044785604139754,
