color_idx_ind,target_acc,mode,response_deadline,block_number,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training_deadline.thisRepN,trials_training_deadline.thisTrialN,trials_training_deadline.thisN,trials_training_deadline.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_staircase.thisRepN,trials_staircase.thisTrialN,trials_staircase.thisN,trials_staircase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_ind.started,stimulus_ind.stopped,key_resp_ind.keys,key_resp_ind.rt,key_resp_ind.started,key_resp_ind.stopped,fixation_cross_1_ind.started,fixation_cross_1_ind.stopped,text.started,text.stopped,dummy_text.started,dummy_text.stopped,stim_ind_color_rgb_r,stim_ind_color_rgb_g,stim_ind_color_rgb_b,text_break_block.started,text_break_block.stopped,participant,session,accuracy_weighting,color_mapping,block_difficulties,date,expName,psychopyVersion,frameRate,
0,0.9,training,1000000000000,,0,0,0,0,,,,,,,,,,,,,,,,,1031.9904678759995,None,d,1.287316121000913,1032.090491719995,None,1031.4940664589958,1031.907112173998,1033.409226707001,1033.9074920659987,1033.409226707001,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
1,0.9,training,1000000000000,,0,1,1,1,,,,,,,,,,,,,,,,,1034.5075713449987,None,f,0.8582027749944245,1034.6075629799961,None,1034.007489618998,1034.4240395509987,1035.4908485359992,1035.9910651309983,1035.4908485359992,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
0,0.9,training,1000000000000,,0,2,2,2,,,,,,,,,,,,,,,,,1036.5754457369985,None,j,0.5662320609990275,1036.6755064870013,None,1036.0910449199946,1036.4920275619952,1037.259050474,1037.7588336699991,1037.259050474,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
2,0.9,training,1000000000000,,0,3,3,3,,,,,,,,,,,,,,,,,1038.3590716420003,None,j,1.1268916850021924,1038.4589014879966,None,1037.8587827459996,1038.2757013730006,1039.6090109689976,1040.1091776419998,1039.6090109689976,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
3,0.9,training,1000000000000,,0,4,4,4,,,,,,,,,,,,,,,,,1040.709458006997,None,k,0.35250218999863137,1040.8092339089999,None,1040.2090999049979,1040.6258306569944,1041.1926413429974,1041.6770666739976,1041.1926413429974,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
1,0.9,training,1000000000000,,0,5,5,5,,,,,,,,,,,,,,,,,1042.2769662509963,None,d,0.8485365800006548,1042.3771430060006,None,1041.7768705319977,1042.1936092949982,1043.2435591339963,1043.744052176,1043.2435591339963,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
0,0.9,training,1000000000000,,0,6,6,6,,,,,,,,,,,,,,,,,1044.344187196999,None,d,0.43775113899755524,1044.4440494369992,None,1043.8439388709958,1044.260860896,1044.9105844820006,1045.4108960629965,1044.9105844820006,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
1,0.9,training,1000000000000,,0,7,7,7,,,,,,,,,,,,,,,,,1046.010951792996,None,f,0.4747035929976846,1046.1110342969987,None,1045.5108107889973,1045.9275521140007,1046.6117933529968,1047.1119981509983,1046.6117933529968,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
0,0.9,training,1000000000000,,0,8,8,8,,,,,,,,,,,,,,,,,1047.7120665519979,None,d,0.8058548460030579,1047.811917961997,None,1047.2119120930001,1047.628533555995,1048.6453444930012,1049.1455865669996,1048.6453444930012,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
2,0.9,training,1000000000000,,0,9,9,9,,,,,,,,,,,,,,,,,1049.7455477269978,None,j,0.35617501199885737,1049.8456112819986,None,1049.2455376979997,1049.6623267219984,1050.2288794429987,1050.7292861399983,1050.2288794429987,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
0,0.9,training,1000000000000,,0,10,10,10,,,,,,,,,,,,,,,,,1051.3293619879987,None,d,0.5324357100034831,1051.429331979998,None,1050.829120014998,1051.2459756309981,1051.980175920995,1052.4800590509985,1051.980175920995,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
1,0.9,training,1000000000000,,0,11,11,11,,,,,,,,,,,,,,,,,1053.0802565419945,None,f,0.3494090739986859,1053.1803485349956,None,1052.5801290759991,1052.996924551997,1053.5468810409948,1054.0473754819977,1053.5468810409948,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
2,0.9,training,1000000000000,,0,12,12,12,,,,,,,,,,,,,,,,,1054.6473829639945,None,j,0.4065392830016208,1054.7472427309986,None,1054.1471977559995,1054.5639550459964,1055.1804908189952,1055.6807004759976,1055.1804908189952,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
3,0.9,training,1000000000000,,0,13,13,13,,,,,,,,,,,,,,,,,1056.2810206569993,None,k,0.4530095590016572,1056.3807673289994,None,1055.7806994569983,1056.1975981049982,1056.8650364399946,1057.3650196499948,1056.8650364399946,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
2,0.9,training,1000000000000,,0,14,14,14,,,,,,,,,,,,,,,,,1057.965297746996,None,j,0.6325075089989696,1058.0652321519956,None,1057.4650973419994,1057.8817341559989,1058.7152294499974,1059.2154505959988,1058.7152294499974,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
3,0.9,training,1000000000000,,0,15,15,15,,,,,,,,,,,,,,,,,1059.815413862998,None,k,0.40634162700007437,1059.9154315560008,None,1059.315409470997,1059.7321345419987,1060.3486288029962,1060.8490123859956,1060.3486288029962,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
1,0.9,training,1000000000000,,0,16,16,16,,,,,,,,,,,,,,,,,1061.447863770998,None,f,0.38045922799938126,1061.5333164619951,None,1060.9488978519948,1061.3658145910013,1061.933312549998,1062.433200200001,1061.933312549998,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
2,0.9,training,1000000000000,,0,17,17,17,,,,,,,,,,,,,,,,,1063.0332779969976,None,j,0.5723331820045132,1063.1334217350013,None,1062.5333066050007,1062.9499205839966,1063.733429547996,1064.2335974989983,1063.733429547996,None,,,,,,14,001,exponential,ybgr,0.75-0.35,2021_May_20_1015,color_judgement_and_subjective_perception,2020.2.10,60.01820664327771,
